"","calBP","PrDens"
"1",17000,0.00135115891245668
"2",16999,0.00134200891507291
"3",16998,0.00133290054021849
"4",16997,0.00132383405614941
"5",16996,0.00131480972491337
"6",16995,0.0013058278023711
"7",16994,0.00129688853821921
"8",16993,0.00128799217601396
"9",16992,0.00127913895319609
"10",16991,0.00127032910111699
"11",16990,0.00126156284506557
"12",16989,0.00125063674527332
"13",16988,0.00123979096465383
"14",16987,0.00122902577560209
"15",16986,0.00121834143289106
"16",16985,0.0012177906395821
"17",16984,0.00120734233930945
"18",16983,0.00119697602818828
"19",16982,0.00118669189550141
"20",16981,0.00117649011413537
"21",16980,0.00116637084082942
"22",16979,0.00115709985917474
"23",16978,0.00114788810509278
"24",16977,0.00113873580419539
"25",16976,0.00112964317300442
"26",16975,0.00112061041901975
"27",16974,0.00111163774078846
"28",16973,0.00110272532797568
"29",16972,0.00109387336143695
"30",16971,0.00108508201329169
"31",16970,0.00107635144699833
"32",16969,0.00106654235279203
"33",16968,0.00105680968560849
"34",16967,0.00104715367071002
"35",16966,0.00103757451999489
"36",16965,0.00102807243212743
"37",16964,0.00101864759267072
"38",16963,0.00100930017422155
"39",16962,0.00100003033654751
"40",16961,0.00099083822672637
"41",16960,0.000981723979287213
"42",16959,0.000973232566149069
"43",16958,0.000964798654341998
"44",16957,0.000956422495593464
"45",16956,0.000948104333535509
"46",16955,0.000939844403720721
"47",16954,0.000931642933639821
"48",16953,0.000923500142741366
"49",16952,0.000915416242453316
"50",16951,0.000907391436206272
"51",16950,0.000899425919458831
"52",16949,0.00089151987972447
"53",16948,0.000883673496600398
"54",16947,0.000875886941798158
"55",16946,0.000868160379175795
"56",16945,0.000860493964771989
"57",16944,0.0008528878468416
"58",16943,0.000845342165893054
"59",16942,0.000837857054727341
"60",16941,0.000830432638478445
"61",16940,0.000823069034655606
"62",16939,0.000816675853107283
"63",16938,0.000810329384257425
"64",16937,0.000804029692620806
"65",16936,0.00079777683834321
"66",16935,0.000791570877226487
"67",16934,0.000785411860754481
"68",16933,0.000779299836119425
"69",16932,0.000773234846248933
"70",16931,0.000767216929833764
"71",16930,0.000761246121355916
"72",16929,0.000756714614947231
"73",16928,0.000752218624309946
"74",16927,0.000747758068422423
"75",16926,0.000743332864908746
"76",16925,0.000738942930064955
"77",16924,0.00073458817888496
"78",16923,0.000730268525086367
"79",16922,0.000725983881136125
"80",16921,0.00072173415827594
"81",16920,0.000717519266547646
"82",16919,0.000713339114818268
"83",16918,0.000709193610804958
"84",16917,0.00070508266109977
"85",16916,0.000701006171194163
"86",16915,0.00069696404550347
"87",16914,0.00069295618739103
"88",16913,0.000688982499192207
"89",16912,0.000685042882238209
"90",16911,0.000681137236879652
"91",16910,0.000667285767615896
"92",16909,0.000664087384741291
"93",16908,0.000660922297437495
"94",16907,0.000657790344887055
"95",16906,0.000654691366138247
"96",16905,0.000651625200132664
"97",16904,0.000648591685732075
"98",16903,0.000645590661744731
"99",16902,0.000642621966951088
"100",16900.5,0.000722716244068327
"101",16899.5,0.000718042690753373
"102",16898.5,0.000713411957018942
"103",16897.5,0.000708823936428062
"104",16896.5,0.000704278520544437
"105",16895.5,0.000699775598968244
"106",16894.5,0.000695315059371792
"107",16893.5,0.000690896787535047
"108",16892.5,0.00068652066738102
"109",16891.5,0.000682186581010995
"110",16890.5,0.000677894408739616
"111",16889.5,0.000673644029129801
"112",16888.5,0.000669446337322613
"113",16887.5,0.000665301027028404
"114",16886.5,0.000661207789983942
"115",16885.5,0.000657166316045011
"116",16884.5,0.000653126030949452
"117",16883.5,0.000649136515118741
"118",16882.5,0.000645197450899997
"119",16881.5,0.000641308519104536
"120",16880.5,0.000637469399094203
"121",16879.5,0.000633679768866443
"122",16878.5,0.000629932098551519
"123",16877.5,0.00062622617121664
"124",16876.5,0.000622561768525599
"125",16875.5,0.000618938670783602
"126",16874.5,0.000615356656981793
"127",16873.5,0.000611815504841449
"128",16872.5,0.000608314990857848
"129",16871.5,0.000604854890343802
"130",16870.5,0.00060143497747284
"131",16869.5,0.000598055025322046
"132",16868.5,0.000594719789336985
"133",16867.5,0.000591428997356273
"134",16866.5,0.000588182375607438
"135",16865.5,0.000584979648772974
"136",16864.5,0.000581820540055801
"137",16863.5,0.000578704771244116
"138",16862.5,0.000575632062775627
"139",16861.5,0.000572602133801148
"140",16860.5,0.000569614702247558
"141",16859.5,0.000566669484880104
"142",16858.5,0.000563760098336055
"143",16857.5,0.000560886369884191
"144",16856.5,0.000558048125339022
"145",16855.5,0.000555245189090867
"146",16854.5,0.000552477384135963
"147",16853.5,0.000549744532106602
"148",16852.5,0.000547046453301278
"149",16851.5,0.000544382966714861
"150",16850.5,0.000541753890068758
"151",16849.5,0.000539159039841081
"152",16848.5,0.000536598231296799
"153",16847.5,0.000534071278517877
"154",16846.5,0.000531577994433386
"155",16845.5,0.000529118190849584
"156",16844.5,0.000526691678479952
"157",16843.5,0.0005242982669752
"158",16842.5,0.000521937764953201
"159",16841.5,0.000519609980028882
"160",16840.5,0.000517314718844043
"161",16839.5,0.000515051787097106
"162",16838.5,0.000512818321122114
"163",16837.5,0.00051061414531293
"164",16836.5,0.00050843908356244
"165",16835.5,0.000506292959283096
"166",16834.5,0.000504175595427363
"167",16833.5,0.000502086814508055
"168",16832.5,0.000500026438618564
"169",16831.5,0.000497994289452984
"170",16830.5,0.000495990188326114
"171",16829.5,0.000494013956193348
"172",16828.5,0.000492056856373216
"173",16827.5,0.000490118788136906
"174",16826.5,0.000488199650923526
"175",16825.5,0.000486299344342303
