x,Curve1
"-6492,68","0,53405"
"-5896,95","0,79041"
"-5497,11","1,0718"
"-5004,32","1,73509"
"-4497,97","2,63444"
"-4002,86","2,71359"
"-3503,25","2,755"
"-2997,9","4,03752"
"-2498,72","5,68811"
"-2003,54","5,50104"
"-1505,04","3,66972"
